Top pages,Clicks,Impressions,CTR,Position
https://ghostaviator.com/,41,79,51.9%,4.11
https://ghostaviator.com/cpl/air-regulations/ar-12/notes,2,3,66.67%,4
https://ghostaviator.com/cpl/instrumentation/inst-7/notes,1,9,11.11%,13
https://ghostaviator.com/mock-test,1,6,16.67%,5.17
https://ghostaviator.com/cpl/air-regulations/ar-6/notes,0,36,0%,8.33
https://ghostaviator.com/cpl/air-regulations/ar-8/notes,0,17,0%,6.94
https://ghostaviator.com/cpl/air-regulations/ar-10/notes,0,13,0%,9.15
https://ghostaviator.com/content/radio-navigation/rnav-1/notes.html,0,12,0%,7.92
https://ghostaviator.com/cpl/meteorology/met-21/notes,0,11,0%,11.73
https://ghostaviator.com/cpl/radio-navigation/rnav-7/notes,0,8,0%,28.12
https://ghostaviator.com/cpl/meteorology/met-18/notes,0,7,0%,5.71
https://ghostaviator.com/cpl/technical-general/tg-7/notes,0,5,0%,4.4
https://ghostaviator.com/cpl/radio-navigation/rnav-6/questions,0,5,0%,7
https://ghostaviator.com/cpl/radio-navigation/rnav-4/questions,0,5,0%,7.6
https://ghostaviator.com/cpl,0,4,0%,6.25
https://ghostaviator.com/cpl/instrumentation/inst-10/notes,0,4,0%,8.25
https://ghostaviator.com/cpl/radio-navigation/rnav-9/notes,0,3,0%,2.67
https://ghostaviator.com/cpl/radio-navigation/rnav-8/notes,0,3,0%,4.67
https://ghostaviator.com/cpl/radio-navigation/rnav-6/notes,0,3,0%,6
https://ghostaviator.com/cpl/instrumentation/inst-22/notes,0,3,0%,8
https://ghostaviator.com/cpl/air-regulations/ar-5/audio,0,3,0%,9
https://ghostaviator.com/cpl/instrumentation/inst-3/notes,0,3,0%,9
https://ghostaviator.com/cpl/instrumentation/inst-11/notes,0,3,0%,10.67
https://ghostaviator.com/cpl/instrumentation/inst-13/notes,0,3,0%,11
https://ghostaviator.com/cpl/instrumentation/inst-6/notes,0,3,0%,28
https://ghostaviator.com/cpl/air-navigation/nav-1/chapter-quiz,0,3,0%,59.67
https://ghostaviator.com/cpl/instrumentation/inst-21/notes,0,2,0%,3
https://ghostaviator.com/cpl/meteorology/met-23/notes,0,2,0%,3
https://ghostaviator.com/cpl/air-regulations/ar-4/notes,0,2,0%,4.5
https://ghostaviator.com/cpl/radio-navigation/rnav-3/questions,0,2,0%,8
https://ghostaviator.com/cpl/instrumentation/inst-17/notes,0,2,0%,10.5
https://ghostaviator.com/cpl/radio-navigation/rnav-3/notes,0,2,0%,10.5
https://ghostaviator.com/atpl/human-performance,0,1,0%,2
https://ghostaviator.com/content/air-regulations/ar-4/notes.html,0,1,0%,2
https://ghostaviator.com/cpl/air-regulations/ar-20/questions,0,1,0%,2
https://ghostaviator.com/cpl/instrumentation/inst-19/questions,0,1,0%,2
https://ghostaviator.com/cpl/instrumentation/inst-2/questions,0,1,0%,3
https://ghostaviator.com/mock-test?subject=instrumentation&type=full,0,1,0%,3
https://ghostaviator.com/cpl/air-regulations/ar-11/questions,0,1,0%,5
https://ghostaviator.com/cpl/radio-navigation/rnav-2/questions,0,1,0%,5
https://ghostaviator.com/atpl/atpl-air-regulations/aar-5/notes,0,1,0%,6
https://ghostaviator.com/cpl/instrumentation/inst-4/notes,0,1,0%,7
https://ghostaviator.com/cpl/instrumentation/inst-12/notes,0,1,0%,8
https://ghostaviator.com/cpl/instrumentation/inst-16/notes,0,1,0%,8
https://ghostaviator.com/content/instrumentation/inst-4/notes.html,0,1,0%,10
https://ghostaviator.com/cpl/instrumentation/inst-28/notes,0,1,0%,10
https://ghostaviator.com/cpl/instrumentation/inst-37/notes,0,1,0%,10
https://ghostaviator.com/cpl/radio-telephony/rtf-5/notes,0,1,0%,10
https://ghostaviator.com/cpl/air-regulations/ar-26/questions,0,1,0%,11
https://ghostaviator.com/cpl/air-regulations/ar-1/audio,0,1,0%,22
